id,name,description,price,offer_price,category,image_url,video_url,gallery,videos,stock,rating,is_trending,created_at,similar_products,variants,colors,sizes,updated_at,shipping_price
50,Single Top,"A ""single top kurti"" is a versatile, ready-to-wear upper garment (the tunic only, without matching bottoms or dupattas)",899,499,kurti,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903125064_IMG_3169.JPG,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903125064_IMG_3169.JPG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903127139_IMG_3170.JPG""]",[],2,4.5,false,2026-07-01 10:52:11.579505+00,[],[],[],"[""S"",""L""]",2026-07-03 13:03:47.130357+00,
51,Single Top,"A ""single top kurti"" is a versatile, ready-to-wear upper garment (the tunic only, without matching bottoms or dupattas)",899,449,kurti,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903187571_IMG_3173.JPG,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903187571_IMG_3173.JPG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903190787_IMG_3176.JPG""]",[],4,4.5,false,2026-07-01 10:53:14.324092+00,[],[],[],"[""S"",""M"",""XL"",""XXL""]",2026-07-03 13:03:19.771283+00,
52,Single Top Kurti,"A ""single top kurti"" is a versatile, ready-to-wear upper garment (the tunic only, without matching bottoms or dupattas)",899,449,kurti,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903230084_IMG_3178.JPG,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903230084_IMG_3178.JPG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903231623_IMG_3181.JPG""]",[],2,4.5,true,2026-07-01 10:53:54.138878+00,[],[],[],"[""S"",""M""]",2026-07-03 13:02:37.458488+00,
53,Single Top Kurti,"A ""single top kurti"" is a versatile, ready-to-wear upper garment (the tunic only, without matching bottoms or dupattas)",899,499,kurti,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903269831_IMG_3183.JPG,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903269831_IMG_3183.JPG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903271289_IMG_3184.JPG""]",[],10,4.5,false,2026-07-01 10:54:34.483947+00,[],[],[],[],2026-07-17 06:51:06.282278+00,0
54,Premium Roman Silk Material,"A premium Roman silk kurti features a luxurious, smooth-textured fabric with an elegant drape and a subtle, rich sheen.",2499,1799,kurti-sets,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903373609_IMG_2836.PNG,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903373609_IMG_2836.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903374884_IMG_2871.JPG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903376380_IMG_2870.JPG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903377188_IMG_2837.PNG""]",[],1,4.5,false,2026-07-01 10:56:19.497517+00,[],[],"[""Yellow""]","[""XS""]",2026-07-03 13:41:52.378623+00,
55,Premium Roman Silk Material,"A premium Roman silk kurti features a luxurious, smooth-textured fabric with an elegant drape and a subtle, rich sheen",2499,1799,kurti-sets,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903454588_IMG_2839.PNG,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903454588_IMG_2839.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903455440_IMG_2840.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1782903455963_IMG_2838.PNG""]",[],1,4.5,false,2026-07-01 10:57:37.524522+00,[],[],"[""Pink""]","[""XS""]",2026-07-03 13:41:40.495846+00,
56,BERLIN MAXI,"Premium maxis with rope & pocket attached ",1699,1099,maxis,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783085586974_B.MAXI2.jpeg,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783085586974_B.MAXI2.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783085588100_B.MAXI3.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783085589844_BLUE_MAXI_1.jpeg""]",[],1,4.5,true,2026-07-03 13:33:10.739694+00,[],[],[],"[""M""]",2026-07-17 06:50:49.884152+00,0
57,BERLIN MAXI,Premium maxis with pockets & rope attached,1699,1099,maxis,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783086029088_BROWN_1.jpeg,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783086029088_BROWN_1.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783086031281_BROWN2.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783086034265_BROWN4.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783086035594_BROWN5.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783086037110_BROWN.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783086038103_M.C_1.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783086039036_M.C_2.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783086040167_M.C_3.jpeg""]",[],8,4.5,true,2026-07-03 13:40:41.552199+00,[],[],"[""BROWN"",""GREY"",""MULTI COLOUR""]","[""XS"",""S"",""L"",""XL"",""XXL""]",2026-07-17 06:50:22.644046+00,0
58,RAYON MAXI,"A FLORAL PRINTED MAXI POCKET ATTACHED ",1099,699,maxis,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783086337462_M.Y_FL_2.PNG,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783086337462_M.Y_FL_2.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783086338624_M.Y_FL_3.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783086339635_M.YE.PNG""]",[],3,4.5,false,2026-07-03 13:45:40.555438+00,[],[],[],"[""XS"",""S"",""L""]",2026-07-17 06:49:39.003579+00,0
61,RAYON,Motifs printed navy maxi with collar neck and elbow sleeve,1599,849,maxis,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783136564852_IMG_3085.PNG,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783136564852_IMG_3085.PNG""]",[],3,4.5,false,2026-07-03 14:15:18.784142+00,[],[],[],"[""XS"",""L"",""XL""]",2026-07-17 06:49:15.986574+00,50
62,KURTI SETS,"CHUDI WITH SHAWL AND ATTACHED WITH POCKETS ",1799,1199,kurti-sets,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783833937176_3pcs_.jpeg,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783833937176_3pcs_.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783833940667_3pcs_blue_.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783833941818_IMG_4256.JPG.jpeg""]",[],8,4.5,true,2026-07-12 05:25:47.136098+00,[],[],[],"[""M"",""L"",""XL"",""XXL""]",2026-07-17 06:48:55.078074+00,50
64,KURTI SETS,"3 PCS SET ATTACHED WITH TOP , PANT, SHAWL & POCKETS ATTACHED BOTH TOP AND PANT",1899,1099,kurti-sets,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783834275897_IMG_4232.PNG,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783834275897_IMG_4232.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783834277359_IMG_4233.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783834277988_IMG_4234.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783834278532_IMG_4235.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783834279010_IMG_4236.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783834279444_IMG_4237.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783834279946_IMG_4238.PNG"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783834280404_IMG_4243.PNG""]",[],20,4.5,false,2026-07-12 05:31:21.072505+00,[],[],"[""LIGHT GREEN"",""FLORAL GREEN"",""GREY""]","[""M"",""L"",""XL"",""XXL""]",2026-07-17 06:47:57.786733+00,50
65,KURTI SETS,"3 pcs sets with super comfotable wear attached with top , pant and shawi & pockets also attached",1999,1099,kurti-sets,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783835080949_IMG_3931.JPG.jpeg,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783835080949_IMG_3931.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783835084999_IMG_3932.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783835086743_IMG_3951.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783835088279_IMG_3955.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783835091033_IMG_4250.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783835094528_IMG_4251.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783835098410_IMG_4252.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783835102292_IMG_4253.JPG.jpeg""]",[],10,4.5,true,2026-07-12 05:45:06.113335+00,[],[],[],"[""M"",""L"",""XL"",""XXL""]",2026-07-17 06:47:25.751001+00,0
66,KURTI,KURTIS WITH SUPER COMFORABLE WEAR,899,499,kurti,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783836536913_IMG_4192.JPG__1_.jpeg,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783836536913_IMG_4192.JPG__1_.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783836538774_IMG_4192.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783836539878_IMG_4195.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783836541995_IMG_4196.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783836543470_IMG_4197.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783836544896_IMG_4201.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783836547140_IMG_4202.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783836551148_IMG_4203.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783836555781_IMG_4206.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1783836559401_IMG_4207.JPG.jpeg""]",[],10,4.5,false,2026-07-12 06:09:22.985368+00,[],[],[],"[""S"",""M"",""L"",""XL"",""XXL""]",2026-07-17 06:46:58.646263+00,50
69,"CORDSET (RAYON,COTTON)",PURE SOFT MATERIAL WITH POCKET ATTACHED                      HIGH COLLAR NECK FOR BOTH                                                                                                                                                                      SIZES :XS-XXL AVAILABLE                                                                                                      LIMITED STOCKS ONLY                                                                                                SO GRAB YOUR OFFERS TODAY,1799,899,cord-sets,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1784270784551_IMG_4585.JPG.jpeg,,"[""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1784270784551_IMG_4585.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1784270785325_IMG_4586.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1784270785706_IMG_4587.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1784270786032_IMG_4588.JPG__1_.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1784270786362_IMG_4589.JPG.jpeg"",""https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/products/1784270786731_IMG_4590.JPG.jpeg""]",[],10,4.5,true,2026-07-17 06:46:33.35877+00,[],[],[],[],2026-07-17 06:46:33.35877+00,50
